id,country_name,country_code,currency_Code,currency_name,visa_requirement,average_travel_cost,description,image_url
142,MALAYSIA,MYS,MYR,Malaysian Ringgit,,,,
143,MALDIVES,MDV,MVR,Rufiyaa,,,,
144,MALI,MLI,XOF,CFA Franc BCEAO,,,,
145,MALTA,MLT,EUR,Euro,,,,
146,MARSHALL ISLANDS (THE),MHL,USD,US Dollar,,,,
147,MARTINIQUE,MTQ,EUR,Euro,,,,
148,MAURITANIA,MRT,MRU,Ouguiya,,,,
149,MAURITIUS,MUS,MUR,Mauritius Rupee,,,,
150,MAYOTTE,MYT,EUR,Euro,,,,
151,MEXICO,MEX,MXN,Mexican Peso,,,,
152,MEXICO,MEX,MXV,Mexican Unidad de Inversion (UDI),,,,
153,MICRONESIA (FEDERATED STATES OF),FSM,USD,US Dollar,,,,
154,MOLDOVA (THE REPUBLIC OF),MDA,MDL,Moldovan Leu,,,,
155,MONACO,MCO,EUR,Euro,,,,
156,MONGOLIA,MNG,MNT,Tugrik,,,,
157,MONTENEGRO,MNE,EUR,Euro,,,,
158,MONTSERRAT,MSR,XCD,East Caribbean Dollar,,,,
159,MOROCCO,MAR,MAD,Moroccan Dirham,,,,
160,MOZAMBIQUE,MOZ,MZN,Mozambique Metical,,,,
161,MYANMAR,MMR,MMK,Kyat,,,,
162,NAMIBIA,NAM,NAD,Namibia Dollar,,,,
163,NAMIBIA,NAM,ZAR,Rand,,,,
164,NAURU,NRU,AUD,Australian Dollar,,,,
165,NEPAL,NPL,NPR,Nepalese Rupee,,,,
166,NETHERLANDS (THE),NLD,EUR,Euro,,,,
167,NEW CALEDONIA,NCL,XPF,CFP Franc,,,,
168,NEW ZEALAND,NZL,NZD,New Zealand Dollar,,,,
169,NICARAGUA,NIC,NIO,Cordoba Oro,,,,
170,NIGER (THE),NER,XOF,CFA Franc BCEAO,,,,
171,NIGERIA,NGA,NGN,Naira,,,,
172,NIUE,NIU,NZD,New Zealand Dollar,,,,
173,NORFOLK ISLAND,NFK,AUD,Australian Dollar,,,,
174,NORTHERN MARIANA ISLANDS (THE),MNP,USD,US Dollar,,,,
175,NORWAY,NOR,NOK,Norwegian Krone,,,,
176,OMAN,OMN,OMR,Rial Omani,,,,
177,PAKISTAN,PAK,PKR,Pakistan Rupee,,,,
178,PALAU,PLW,USD,US Dollar,,,,
179,PALESTINE,PSE,Non, None,,,,
180,PANAMA,PAN,PAB,Balboa,,,,
181,PANAMA,PAN,USD,US Dollar,,,,
182,PAPUA NEW GUINEA,PNG,PGK,Kina,,,,
183,PARAGUAY,PRY,PYG,Guarani,,,,
184,PERU,PER,PEN,Nuevo Sol,,,,
185,PHILIPPINES (THE),PHL,PHP,Philippine Peso,,,,
186,PITCAIRN,PCN,NZD,New Zealand Dollar,,,,
187,POLAND,POL,PLN,Zloty,,,,
188,PORTUGAL,PRT,EUR,Euro,,,,
189,PUERTO RICO,PRI,USD,US Dollar,,,,
190,QATAR,QAT,QAR,Qatari Rial,,,,
191,RÉUNION,REU,EUR,Euro,,,,
192,ROMANIA,ROU,RON,Romanian Leu,,,,
